ID,gsl.6mSOh.blup,gsl.1moIM.blup,gsl.S2hBuen.blup,gsl.4mSOb.blup,gsl.1hIM.blup,gsl.8MTO.blup,gsl.new.1.blup,gsl.3boP.blup,gsl.Peen.blup,gsl.3mSOp.blup,gsl.4boP.blup,gsl.R2hBuen.blup,gsl.5boP.blup,gsl.PE.blup,gsl.iBu.blup,gsl.4moIM.blup,gsl.new.2.blup,gsl.XhBz.blup,gsl.7mSh.blup,gsl.IM.blup,gsl.5mSOp.blup,gsl.2hPeen.blup,gsl.7mSOh.blup,gsl.XhPE.blup,gsl.Buen.blup,gsl.8mSOo.blup,gsl.Pren.blup
5_67,0.0803016447939222,-0.122351598036926,0.102454887411823,0.212780696115275,0.033399496358576,-0.0376356575612939,0.425177551142062,-0.0133336345130035,0.389694268980203,-0.0787296854015355,0.0395950602239182,0.121749280890753,0.0351167220770003,-0.124435354278914,0.230914875363713,-0.022135258703652,0.428619910383133,-0.0374097622925675,-0.0794035049214426,-0.0597552674742929,0.285006060613551,0.249063016801245,0.03038787579822,0.197630185831589,0.205160760414386,0.104490605301834,-0.0414492215574559
5_68,0.106733081181868,0.0217459792187479,0.163426017491677,0.270759949156756,0.145786574101316,0.0110688175797466,0.573374054632885,0.0425371790734604,0.440617857832456,-0.103487052634064,0.102017073729744,0.169374414690772,0.137167253380587,-0.229801758086906,0.251701461258657,0.0764691611021151,0.56575261081092,-0.166391514716066,0.0773392096654189,0.0121562890285888,0.403715460904914,0.337368636187295,0.109787996084429,0.120862255558026,0.267642173518503,0.126412660786647,0.0106139109387517
5_69,0.0226817303535703,0.108438552858231,0.027209988253751,0.10467787257153,0.103104841270019,0.00278484797860186,0.38192446099606,0.0696899185589564,0.15209716163482,-0.19455606154405,-0.0750363713968509,0.0261783183708042,0.0518528968918857,-0.366336386343133,-0.0195715153528133,-0.0797662879224557,0.372778335667513,-0.240453221600182,-0.133293650387088,-0.00101772674426685,0.109863738774104,0.192206351999059,0.0403403713278533,0.181139337866498,0.008087983988155,0.105239293001535,-0.202826286302632
5_7,-0.000428306360454049,0.157276928432518,0.00851761146187724,-0.300984533406723,0.209579333207516,-0.100024234622136,-0.502505194229644,0.076897559884139,-0.211042384727401,0.101912062634139,0.0594547524175093,-0.00434341004234908,0.0357314771760481,0.28603480784417,-0.147706221058273,-0.026683757316356,-0.634115903227793,0.155571046669599,-0.0523956931523858,0.0234646841959701,-0.296166774593529,0.0281471604076016,-0.0455136212784471,-0.172158799371912,-0.135762689265914,-0.0202441176921452,0.357008290241098
5_70,0.104259859758304,-0.110962657218278,0.164736849361322,0.230830639401611,0.281233048710956,0.261044869851961,0.508341350620315,-0.000901408841269969,0.202726148255979,-0.243898371015804,0.0532468091180695,0.165243477299349,0.00154469665716723,-0.109814982321293,0.119937761223642,-0.00491748735765762,0.655431015242963,-0.142880286461906,0.260795328119362,0.193237631104194,0.284718421178449,0.138804452439556,0.0382167838700071,0.194369993406544,0.18014417187174,0.0773725789738614,-1.13467924236175
5_72,-0.0146408785757982,-0.0100088672050355,-0.0618213262032133,-0.302543658766605,-0.00421155597615552,-0.00977312793485204,-0.602923790554316,-0.0248809696497514,-0.366804053322591,0.0362657642400437,-0.0443340747189681,-0.0724375865644548,0.104769087580143,0.226668257177156,-0.119909258053036,0.108493201249908,-0.493557334896386,0.130464440205513,-0.02019070075154,-0.00922692660186705,-0.205967431032234,-0.142355281169808,-0.113881773341932,-0.0390492901295643,-0.15525294953733,0.0366123069031593,0.326039095638855
5_74,0.0388202494333638,0.106630901123697,0.0601541224649094,0.393296759028886,0.14930760342206,0.111444139323833,0.492989982584273,0.0382354014228789,0.159601546408963,0.117567028282099,-0.0149210053768196,0.0845534352822455,0.0295562191196843,-0.260331299183185,0.140893227497749,0.105132715185833,0.427641405225642,-0.0929658645426978,0.059790909585676,-0.0847368882883544,0.372235450535285,-0.0491873783030063,-0.0309963735702351,0.270226136289754,0.128869306962892,-0.0043039945790047,-0.0656896113256402
5_75,-0.068011247300769,0.18161996935303,0.121900879936509,0.316800657290379,-0.0552489011606351,0.0959427952887549,0.495074493231941,0.0296517691888948,0.010237362967069,0.206029278644527,0.00615349089551476,0.125281921643787,0.0949139473738835,-0.02831084712555,0.092985252219967,0.0255421439693076,0.660781020753859,0.0700761919175614,-0.0622601976845042,0.112557455509369,0.142032176252437,-0.0168176580663626,-0.0745071688556189,0.0719297791556122,0.145837020192261,0.0336927625314373,0.137772201377655
5_76,-0.0838288567531158,-0.136111271265633,-0.138227472902003,-0.351142685990093,-0.165525589605119,-0.153621409964554,0.291953958510396,-0.175451886604445,-0.0109665980424512,-0.0418618453608661,-0.0659613992421901,-0.145254543088299,-0.0516776554993584,-0.449121972496942,0.040613121248855,-0.229942525808275,0.336037772717902,-0.150735264241399,-0.130521605795427,0.0595645971500856,0.0862389992759982,-0.0533422484712045,-0.117129167177608,-0.130148271661878,-0.014341907747398,-0.186948168361856,-0.360086320829843
5_77,-0.0577756758991316,-0.0341813707989829,-0.0497084710879507,-0.341248193706274,-0.171833843609279,-0.0125250690387843,-0.567711483016187,-0.0360934982094485,-0.170541833426565,0.131357802403164,-0.0190967356800876,-0.0645661146343751,0.0949916364201589,0.302738128846321,-0.083412176207265,0.0929546922080464,-0.70877790164628,0.29010037624585,-0.010635545976277,-0.00603416274544224,-0.294039721975303,-0.233806108726518,-0.0953118043991936,-0.210161404480678,-0.132777994573186,0.0651706566054133,0.365776705548619
