SAMPLE,ID_short,ecotype_id,pop_code
TOU-A6-74,6_74,71170,TOUA6
TOU-A6-75,6_75,71171,TOUA6
TOU-A6-76,6_76,71172,TOUA6
TOU-A6-77,6_77,71173,TOUA6
TOU-A6-78,6_78,71174,TOUA6
TOU-A6-79,6_79,71175,TOUA6
TOU-A6-80,6_80,71177,TOUA6
TOU-A6-81,6_81,71178,TOUA6
TOU-A6-82,6_82,71179,TOUA6
TOU-A6-83,6_83,71180,TOUA6
TOU-A6-84,6_84,71181,TOUA6
TOU-A6-85,6_85,71182,TOUA6
TOU-A6-86,6_86,71183,TOUA6
TOU-A6-87,6_87,71184,TOUA6
TOU-A6-88,6_88,71185,TOUA6
TOU-A6-89,6_89,71186,TOUA6
TOU-A6-90,6_90,71188,TOUA6
TOU-A6-91,6_91,71189,TOUA6
TOU-A6-92,6_92,71190,TOUA6
TOU-A6-94,6_94,71191,TOUA6
TOU-A6-95,6_95,71192,TOUA6
TOU-A6-96,6_96,71193,TOUA6
TOU-A6-97,6_97,71194,TOUA6
TOU-A6-99,6_99,71195,TOUA6
TOU-A6-100,6_100,71083,TOUA6
TOU-A6-101,6_101,71084,TOUA6
TOU-A6-102,6_102,71085,TOUA6
TOU-A6-103,6_103,71086,TOUA6
TOU-A6-104,6_104,71087,TOUA6
TOU-A6-105,6_105,71088,TOUA6
TOU-A6-106,6_106,71089,TOUA6
TOU-A6-107,6_107,71090,TOUA6
TOU-A6-108,6_108,71091,TOUA6
TOU-A6-109,6_109,71092,TOUA6
TOU-A6-110,6_110,71094,TOUA6
TOU-A6-111,6_111,71095,TOUA6
TOU-A6-112,6_112,71096,TOUA6
TOU-A6-113,6_113,71097,TOUA6
TOU-A6-114,6_114,71098,TOUA6
TOU-A6-115,6_115,71099,TOUA6
TOU-A6-116,6_116,71100,TOUA6
TOU-A6-117,6_117,71101,TOUA6
TOU-A6-118,6_118,71102,TOUA6
